分期商品时直接用花呗支付吗	花呗分期购买商品需要审核吗	0
我说我打开花呗，它为什么叫我去另外一个手机号去使用，但是我没有手机，怎么使用	我的手机号码是换了，但是要另外的才能用花呗	0
关联的支付宝都有花呗吗	不同的支付宝关联同一个花呗	0
花呗充值的***元到账咯吗	花呗充值末到帐	0
蚂蚁借呗还款时间怎么选择***个月	怎么样改借呗还款日	0
我用手机支付宝的码，不支持的	我是开小卖部的，然后之前申请了一个支付宝二维码收款	0
花呗付款成功却显示没有付款	花呗已经扣款，为什么显示未支付	0
我没有开通花呗，但用花呗付款了，还优惠了***元，这种情况怎么还款	消费了一百五十几元，而我还没有开通花呗，该怎么还款	1
收款码花呗服务费这么收取	花呗服务费账单	0
花呗最低还款后还影响芝麻信用嘛	花呗还了最低还款，算逾期吗	0
花呗全部应还款	花呗是按月还款还是按天还款	0
可以花呗 跟姐呗一起用吗	使用花呗，可以查出余额吗	0
蚂蚁借呗怎么会关闭	蚂蚁借呗借的钱会不会自动增加	0
提高芝麻借呗的额度	我要提高借呗额度	0
花呗额度上升，借呗可以用吗	花呗额度全部还清可以用借呗吗	0
我的花呗什么时候还完钱	使用花呗后订单取消什么时候回来	0
花呗临时额度下个月需要还款吗	花呗上的临时额度是什么	0
借呗需要保证金吗	充值保证金支持花呗吗	0
我的借呗以前可以用现在怎么用不了了	借呗用不了怎么回事	0
重庆阿里小额小贷、重庆蚂蚁小额小贷 收取的服务费申请发票	***月份的 重庆阿里小额小贷、重庆蚂蚁小额小贷	0
可以在哪些商场用花呗	花呗可以绑定哪些软件	0
这个和花呗是一起的	花呗能和自己的钱一起使用吗	0
怎么我现在不可以使用花呗	我花唄怎么用不了	1
花呗逾期会怎样最多逾期多少天	如逾期一天会影响花呗吗	0
花呗还款能还剩下的一半吗	花呗分期后能选择还一半吗	0
我自己的淘宝店铺为什么不能用分期跟花呗	为什么我开通了蚂蚁花呗但是不能分期卖宝贝	0
花呗可以扫码支付个人商户吗	花呗可以直接扫码给朋友支付吗	0
如何切换账号使用花呗	花呗切换另一个账户	1
花呗关闭后怎样还款	怎么还钱给，花呗	0
花呗***号还款	花呗是不是一到***号还款，没有出账单，那不还	0
蚂蚁森林和借呗有关系吗	蚂蚁森林有蚂蚁花呗吗	0
花呗账单逾期利息怎么算	花呗逾期利息是怎么算得	1
花呗最晚还款是几号	花呗几号到几号是一期	0
蚂蚁借呗不在淘宝显示	蚂蚁借呗钱已经还了，为什么不显示有额度	0
花呗和信用卡的区别	花呗预期和分期有区别吗	0
蚂蚁借呗怎么只能还不能借了	为什么我借呗借不了了	0
开通花呗是有什么特别的吗	我每天都用支付宝消费，为什么就是不给我开花呗	0
我开通了花呗 怎么不能收款	花呗收款微什么不能收大额	0
花呗可以美团用吗	花呗得滴滴吗	0
借呗的钱，几号借就下月几号还嘛	***月一号用的花呗，什么时候还	0
花呗收钱需要多久	花呗审核多久	0
不是花呗免费提现额度吗	使用花呗是免费的吗	0
花呗认证错了怎么重新认证	借呗怎么认证开通	0
花呗逾期还款了花呗还能用吗	花呗逾期一个星期金额***元，马上还了能恢复花呗吗	0
花呗被关闭了，如何还款	花呗还款在哪	0
我不能开通花呗怎么还款，总有短停提示还款	我的没有开通花呗 要怎么还款	0
花呗***是什么意思	怎么开通花呗	0
